Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
As1Na1O2,16762,orc,oP32,32,3.67,5.85,2.23,2.39,5.66,1.39,6.81,8.77,5.08,3.75,3.96,7.52
As1Na1O3,16654,tri(1b),aP30,30,2.84,4.74,0.53,22.34,3.97,2.53,2.90,6.48,6.94,3.67,5.50,11.66
As1Na3S3,645,cub,cP28,28,2.52,4.30,1.07,6.49,8.17,8.06,8.14,8.30,12.43,12.37,12.38,12.55
As1O3Sb1,37187,mcl,mP20,20,0.94,2.18,13.02,2.25,2.18,0.01,2.22,4.30,2.72,0.22,2.79,5.13
As1O4P1,31879,orc,oP24,24,4.56,7.07,1.39,3.22,8.59,0.54,9.85,15.37,10.13,7.02,10.36,13.02
As1O4Sb1,23316,mcl,mP12,12,3.06,5.04,1.40,2.09,2.84,0.96,1.62,5.94,3.30,0.24,1.17,8.50
As1O4Tl1Zn1,74812,mcl,mP28,28,3.35,5.42,0.86,7.18,7.00,1.48,6.50,13.01,9.36,3.39,8.75,15.95
As1O4Y1,24513,bct(1),tI24,12,3.66,5.84,0.49,2.92,2.92,0.78,0.78,7.21,5.69,4.94,4.94,7.19
As1O5P1,36649,orc,oP28,28,2.00,3.61,0.49,7.21,1.00,0.52,0.77,1.71,11.55,1.94,2.30,30.42
As1S1,15238,mcl,mP32,32,2.38,4.12,2.77,6.99,8.18,6.13,7.31,11.11,9.64,7.30,7.41,14.21
As1S1,86228,mclc(1),mS32,16,2.04,3.67,1.06,1.43,6.30,4.59,5.91,8.38,2.40,1.01,2.44,3.74
As1S4Tl3,39753,orc,oP32,32,1.62,3.09,0.68,1.24,5.40,4.41,4.77,7.03,8.06,8.03,8.04,8.11
As1Si1,43227,mclc(1),mS24,12,1.21,2.54,0.40,0.49,7.50,1.81,4.86,15.83,0.70,0.09,0.25,1.76
As1Zn1,431,orc,oP16,16,0.52,1.61,0.15,0.34,2.24,1.02,2.83,2.88,0.90,0.46,0.65,1.60
As2B4Cl4,80153,tri(1b),aP20,20,3.40,5.50,5.90,9.50,3.53,3.49,3.49,3.61,7.41,4.59,8.69,8.95
As2Ba1Zn2,12146,orc,oP20,20,0.33,1.36,0.57,0.73,0.69,0.30,0.36,1.41,1.18,0.88,1.20,1.45
As2Ba2Ge1,35151,mcl,mP20,20,0.54,1.64,0.30,0.62,2.52,0.75,2.77,4.03,2.39,0.69,2.84,3.63
As2Ba2O2Zn3,67998,bct(2),tI18,9,0.40,1.45,0.15,0.99,0.15,0.01,0.01,0.44,0.53,0.41,0.41,0.77
As2Br2Cd2Hg2,240354,orc,oP16,16,1.04,2.32,0.19,1.84,0.09,0.01,0.12,0.15,2.31,0.21,0.65,6.08
As2Ca1H4O8,2809,tri(1b),aP30,30,3.77,6.00,0.54,5.37,1.90,0.12,0.96,4.60,16.43,13.33,15.84,20.13
As2Ca2O7,32602,mclc(3),mS22,11,3.31,5.37,0.52,4.16,3.62,1.45,4.56,4.86,5.49,2.96,5.52,8.00
As2Cd2O7,280579,mclc(3),mS22,11,1.71,3.22,0.28,2.64,1.47,1.08,1.57,1.77,5.48,4.75,5.14,6.57
As2Cl3Hg3Tl1,411520,orc,oP36,36,0.88,2.09,0.27,0.63,1.78,1.37,1.71,2.26,3.90,1.09,1.35,9.27
As2Cl6O2,411196,mcl,mP20,20,2.51,4.29,1.30,5.93,2.99,2.51,3.17,3.30,7.74,5.27,7.70,10.27
As2F12Hg3,9323,mcl,mP34,34,2.61,4.43,2.86,7.64,8.77,4.83,9.28,12.21,9.37,4.60,7.83,15.69
As2F12Hg4,35412,mcl,mP36,36,0.71,1.87,5.24,4.33,9.52,0.01,0.13,28.43,8.53,0.01,0.09,25.49
As2F12I4S2,14074,mclc(3),mS80,40,1.16,2.48,15.37,4.84,7.14,1.47,4.42,15.53,7.88,0.03,10.70,12.91
As2F12N2S1Se2,71357,mclc(1),mS76,38,2.26,3.96,4.27,5.76,10.25,5.87,9.71,15.16,9.98,3.47,11.75,14.71
As2Ga1Li1Na2,402111,orcc,oS48,24,0.74,1.91,0.12,0.81,0.25,0.11,0.30,0.35,6.48,1.68,8.74,9.01
As2Ge1,23872,orc,oP24,24,0.51,1.60,0.14,0.60,2.90,1.08,1.87,5.76,2.91,2.08,2.82,3.83
As2Hg6O8,2604,mcl,mP32,32,0.41,1.47,0.25,0.69,1.11,0.57,0.85,1.91,1.55,0.82,1.61,2.23
As2Mg2O7,16885,mclc(3),mS22,11,3.04,5.02,0.41,1.81,1.05,0.03,1.32,1.82,5.02,3.93,4.15,6.98
